time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-16T15:29:14.300Z,-23.7723,-177.6006,208.68,5.1,mb,,47,5.458,0.78,us,us10008squ,2017-05-16T23:31:48.813Z,"South of the Fiji Islands",earthquake,8.8,4.7,0.034,290,reviewed,us,us
2017-05-16T14:51:51.793Z,60.7866,-151.7514,74.9,3.3,ml,,,,0.64,ak,ak16044875,2017-05-16T15:04:19.580Z,"27km WNW of Nikiski, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-16T14:42:07.640Z,-56.4461,-25.4467,10,5.1,mb,,62,6.657,0.58,us,us10008sqm,2017-05-16T16:31:57.040Z,"111km ENE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10.4,1.5,0.074,60,reviewed,us,us
2017-05-16T14:04:40.000Z,11.4703,95.0551,21.85,4.6,mb,,112,2.272,0.53,us,us10008sqi,2017-05-16T15:03:32.436Z,"252km E of Port Blair, India",earthquake,8.1,3.6,0.125,19,reviewed,us,us
2017-05-16T13:56:32.430Z,-18.9397,-70.1828,18.42,4.4,mwr,,152,0.351,0.55,us,us10008sqd,2017-05-17T00:24:33.290Z,"53km SSE of Arica, Chile",earthquake,2.6,9.4,,,reviewed,us,guc
2017-05-16T12:52:07.680Z,16.2827,-105.2154,10,4.9,mb,,198,5.059,0.89,us,us10008sq0,2017-05-17T03:27:50.152Z,"Off the coast of Michoacan, Mexico",earthquake,7.8,1.9,0.032,304,reviewed,us,us
2017-05-16T11:41:56.350Z,51.2143,179.3939,53.7,4.9,mb,,135,2.249,0.96,us,us10008spv,2017-05-16T17:23:25.280Z,"83km S of Semisopochnoi Island, Alaska",earthquake,8.8,4.8,0.031,320,reviewed,us,us
2017-05-16T11:29:12.910Z,36.6805,-98.4107,6.23,3.4,mb_lg,,29,0.202,0.4,us,us10008spr,2017-05-17T00:06:24.125Z,"9km SSW of Cherokee, Oklahoma",earthquake,1.6,6.9,0.051,100,reviewed,us,us
2017-05-16T11:10:46.000Z,16.2759,-105.1137,10,4.7,mb,,197,4.991,1.16,us,us10008spm,2017-05-16T11:35:33.040Z,"Off the coast of Michoacan, Mexico",earthquake,10.7,1.9,0.032,290,reviewed,us,us
2017-05-16T10:37:19.060Z,18.5476,-68.3706,94,2.51,md,5,263,0.0354,0.01,pr,pr2017136021,2017-05-18T00:20:36.188Z,"5km SE of Punta Cana, Dominican Republic",earthquake,8.41,0.77,0.56,3,reviewed,pr,pr
